screen_code,screen_code_dec,petscii_code,petscii_code_dec,char,unicode,name,keyboard,control_code,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8
$80,128,$40,64,@,U+0040,commercial at (reverse),,@,$C3,$99,$91,$91,$9F,$99,$C3,$FF
$81,129,$41,65,A,U+0041,latin capital letter a (reverse),,a,$E7,$C3,$99,$81,$99,$99,$99,$FF
$82,130,$42,66,B,U+0042,latin capital letter b (reverse),,b,$83,$99,$99,$83,$99,$99,$83,$FF
$83,131,$43,67,C,U+0043,latin capital letter c (reverse),,c,$C3,$99,$9F,$9F,$9F,$99,$C3,$FF
$84,132,$44,68,D,U+0044,latin capital letter d (reverse),,d,$87,$93,$99,$99,$99,$93,$87,$FF
$85,133,$45,69,E,U+0045,latin capital letter e (reverse),,e,$81,$9F,$9F,$87,$9F,$9F,$81,$FF
$86,134,$46,70,F,U+0046,latin capital letter f (reverse),,f,$81,$9F,$9F,$87,$9F,$9F,$9F,$FF
$87,135,$47,71,G,U+0047,latin capital letter g (reverse),,g,$C3,$99,$9F,$91,$99,$99,$C3,$FF
$88,136,$48,72,H,U+0048,latin capital letter h (reverse),,h,$99,$99,$99,$81,$99,$99,$99,$FF
$89,137,$49,73,I,U+0049,latin capital letter i (reverse),,i,$C3,$E7,$E7,$E7,$E7,$E7,$C3,$FF
$8A,138,$4A,74,J,U+004A,latin capital letter j (reverse),,j,$E1,$F3,$F3,$F3,$F3,$93,$C7,$FF
$8B,139,$4B,75,K,U+004B,latin capital letter k (reverse),,k,$99,$93,$87,$8F,$87,$93,$99,$FF
$8C,140,$4C,76,L,U+004C,latin capital letter l (reverse),,l,$9F,$9F,$9F,$9F,$9F,$9F,$81,$FF
$8D,141,$4D,77,M,U+004D,latin capital letter m (reverse),,m,$9C,$88,$80,$94,$9C,$9C,$9C,$FF
$8E,142,$4E,78,N,U+004E,latin capital letter n (reverse),,n,$99,$89,$81,$81,$91,$99,$99,$FF
$8F,143,$4F,79,O,U+004F,latin capital letter o (reverse),,o,$C3,$99,$99,$99,$99,$99,$C3,$FF
$90,144,$50,80,P,U+0050,latin capital letter p (reverse),,p,$83,$99,$99,$83,$9F,$9F,$9F,$FF
$91,145,$51,81,Q,U+0051,latin capital letter q (reverse),,q,$C3,$99,$99,$99,$99,$C3,$F1,$FF
$92,146,$52,82,R,U+0052,latin capital letter r (reverse),,r,$83,$99,$99,$83,$87,$93,$99,$FF
$93,147,$53,83,S,U+0053,latin capital letter s (reverse),,s,$C3,$99,$9F,$C3,$F9,$99,$C3,$FF
$94,148,$54,84,T,U+0054,latin capital letter t (reverse),,t,$81,$E7,$E7,$E7,$E7,$E7,$E7,$FF
$95,149,$55,85,U,U+0055,latin capital letter u (reverse),,u,$99,$99,$99,$99,$99,$99,$C3,$FF
$96,150,$56,86,V,U+0056,latin capital letter v (reverse),,v,$99,$99,$99,$99,$99,$C3,$E7,$FF
$97,151,$57,87,W,U+0057,latin capital letter w (reverse),,w,$9C,$9C,$9C,$94,$80,$88,$9C,$FF
$98,152,$58,88,X,U+0058,latin capital letter x (reverse),,x,$99,$99,$C3,$E7,$C3,$99,$99,$FF
$99,153,$59,89,Y,U+0059,latin capital letter y (reverse),,y,$99,$99,$99,$C3,$E7,$E7,$E7,$FF
$9A,154,$5A,90,Z,U+005A,latin capital letter z (reverse),,z,$81,$F9,$F3,$E7,$CF,$9F,$81,$FF
$9B,155,$5B,91,[,U+005B,left square bracket (reverse),shift + :,c= + :,$C3,$CF,$CF,$CF,$CF,$CF,$C3,$FF
$9C,156,$5C,92,£,U+00A3,pound sign (reverse),,£,$F3,$ED,$CF,$83,$CF,$9D,$03,$FF
$9D,157,$5D,93,],U+005D,right square bracket (reverse),shift + ;,c= + ;,$C3,$F3,$F3,$F3,$F3,$F3,$C3,$FF
$9E,158,$5E,94,↑,U+2191,upwards arrow (reverse),,↑,$FF,$E7,$C3,$81,$E7,$E7,$E7,$E7
$9F,159,$5F,95,←,U+2190,leftwards arrow (reverse),shift + ←,← / c= + ←,$FF,$EF,$CF,$80,$80,$CF,$EF,$FF
$A0,160,$20,32,,U+0020,space (reverse),,space,$FF,$FF,$FF,$FF,$FF,$FF,$FF,$FF
$A1,161,$21,33,!,U+0021,exclamation mark (reverse),shift + 1,,$E7,$E7,$E7,$E7,$FF,$FF,$E7,$FF
$A2,162,$22,34,"""",U+0022,quotation mark (reverse),shift + 2,,$99,$99,$99,$FF,$FF,$FF,$FF,$FF
$A3,163,$23,35,#,U+0023,number sign (reverse),shift + 3,,$99,$99,$00,$99,$00,$99,$99,$FF
$A4,164,$24,36,$,U+0024,dollar sign (reverse),shift + 4,,$E7,$C1,$9F,$C3,$F9,$83,$E7,$FF
$A5,165,$25,37,%,U+0025,percent sign (reverse),shift + 5,,$9D,$99,$F3,$E7,$CF,$99,$B9,$FF
$A6,166,$26,38,&,U+0026,ampersand (reverse),shift + 6,,$C3,$99,$C3,$C7,$98,$99,$C0,$FF
$A7,167,$27,39,',U+0027,apostrophe (reverse),shift + 7,,$F9,$F3,$E7,$FF,$FF,$FF,$FF,$FF
$A8,168,$28,40,(,U+0028,left parenthesis (reverse),shift + 8,,$F3,$E7,$CF,$CF,$CF,$E7,$F3,$FF
$A9,169,$29,41,),U+0029,right parenthesis (reverse),shift + 9,c= + 9,$CF,$E7,$F3,$F3,$F3,$E7,$CF,$FF
$AA,170,$2A,42,*,U+002A,asterisk (reverse),,*,$FF,$99,$C3,$00,$C3,$99,$FF,$FF
$AB,171,$2B,43,+,U+002B,plus sign (reverse),,+,$FF,$E7,$E7,$81,$E7,$E7,$FF,$FF
$AC,172,$2C,44,",",U+002C,comma (reverse),,",",$FF,$FF,$FF,$FF,$FF,$E7,$E7,$CF
$AD,173,$2D,45,-,U+002D,hyphen-minus (reverse),,-,$FF,$FF,$FF,$81,$FF,$FF,$FF,$FF
$AE,174,$2E,46,.,U+002E,full stop (reverse),,.,$FF,$FF,$FF,$FF,$FF,$E7,$E7,$FF
$AF,175,$2F,47,/,U+002F,solidus (reverse),,/,$FF,$FC,$F9,$F3,$E7,$CF,$9F,$FF
$B0,176,$30,48,0,U+0030,digit zero (reverse),shift + 0,0 / c= + 0,$C3,$99,$91,$89,$99,$99,$C3,$FF
$B1,177,$31,49,1,U+0031,digit one (reverse),,1,$E7,$E7,$C7,$E7,$E7,$E7,$81,$FF
$B2,178,$32,50,2,U+0032,digit two (reverse),,2,$C3,$99,$F9,$F3,$CF,$9F,$81,$FF
$B3,179,$33,51,3,U+0033,digit three (reverse),,3,$C3,$99,$F9,$E3,$F9,$99,$C3,$FF
$B4,180,$34,52,4,U+0034,digit four (reverse),,4,$F9,$F1,$E1,$99,$80,$F9,$F9,$FF
$B5,181,$35,53,5,U+0035,digit five (reverse),,5,$81,$9F,$83,$F9,$F9,$99,$C3,$FF
$B6,182,$36,54,6,U+0036,digit six (reverse),,6,$C3,$99,$9F,$83,$99,$99,$C3,$FF
$B7,183,$37,55,7,U+0037,digit seven (reverse),,7,$81,$99,$F3,$E7,$E7,$E7,$E7,$FF
$B8,184,$38,56,8,U+0038,digit eight (reverse),,8,$C3,$99,$99,$C3,$99,$99,$C3,$FF
$B9,185,$39,57,9,U+0039,digit nine (reverse),,9,$C3,$99,$99,$C1,$F9,$99,$C3,$FF
$BA,186,$3A,58,:,U+003A,colon (reverse),,:,$FF,$FF,$E7,$FF,$FF,$E7,$FF,$FF
$BB,187,$3B,59,;,U+003B,semicolon (reverse),,;,$FF,$FF,$E7,$FF,$FF,$E7,$E7,$CF
$BC,188,$3C,60,<,U+003C,less-than sign (reverse),"shift + ,","c= + ,",$F1,$E7,$CF,$9F,$CF,$E7,$F1,$FF
$BD,189,$3D,61,=,U+003D,equals sign (reverse),shift + =,= / c= + =,$FF,$FF,$81,$FF,$81,$FF,$FF,$FF
$BE,190,$3E,62,>,U+003E,greater-than sign (reverse),shift + .,c= + .,$8F,$E7,$F3,$F9,$F3,$E7,$8F,$FF
$BF,191,$3F,63,?,U+003F,question mark (reverse),shift + /,c= + /,$C3,$99,$F9,$F3,$E7,$FF,$E7,$FF
$C0,192,$60,96,─,U+2500,box drawings light horizontal (reverse),,,$FF,$FF,$FF,$00,$00,$FF,$FF,$FF
$C1,193,$61,97,♠,U+2660,black spade suit (reverse),,,$F7,$E3,$C1,$80,$80,$E3,$C1,$FF
$C2,194,$62,98,🭲,U+1FB72,vertical one eighth block-4 (reverse),,,$E7,$E7,$E7,$E7,$E7,$E7,$E7,$E7
